,status,distance,duration,geometry,type
19,Ok,1524.5,500.8,"[[-74.002497, 40.719365], [-74.002091, 40.719153], [-74.002529, 40.718639], [-74.000274, 40.717619], [-73.999449, 40.71733], [-74.000138, 40.7162], [-73.998493, 40.71563], [-73.998866, 40.714995], [-73.998644, 40.713523], [-73.998493, 40.713452], [-73.997981, 40.713673], [-73.997747, 40.713481], [-73.997536, 40.71345], [-73.992977, 40.713828], [-73.993037, 40.714294], [-73.99296, 40.714301], [-73.992937, 40.714067]]",LineString
20,Ok,1968.5,548.5,"[[-73.966574, 40.764435], [-73.966813, 40.764105], [-73.962983, 40.762498], [-73.970804, 40.751748], [-73.972799, 40.752591]]",LineString
21,Ok,2110.7,623.7,"[[-73.994588, 40.760135], [-73.994981, 40.7603], [-73.994526, 40.760925], [-73.977432, 40.753717], [-73.97606, 40.7556], [-73.974958, 40.755142]]",LineString
22,Ok,4520.3,1207,"[[-74.008056, 40.73932], [-74.008103, 40.738759], [-74.003549, 40.738759], [-74.00289, 40.739201], [-73.983827, 40.765415], [-73.9895, 40.767825], [-73.989049, 40.768446], [-73.988629, 40.768268]]",LineString
23,Ok,2325.5,774,"[[-74.002944, 40.72709], [-74.003122, 40.726878], [-74.00158, 40.726129], [-74.002619, 40.72488], [-73.998812, 40.723021], [-73.99546, 40.721624], [-73.996481, 40.719049], [-73.989145, 40.71672], [-73.990228, 40.714597], [-73.990229, 40.714419], [-73.989879, 40.714317]]",LineString
24,Ok,4042.7,1064.3,"[[-73.995976, 40.724289], [-73.990646, 40.730615], [-73.989868, 40.733528], [-73.997341, 40.736668], [-73.988708, 40.748504], [-73.981969, 40.745683]]",LineString
25,Ok,963.6,264.2,"[[-73.973749, 40.764412], [-73.974111, 40.763933], [-73.970363, 40.762345], [-73.972719, 40.759104], [-73.974055, 40.759668]]",LineString
26,Ok,1657.4,473.5,"[[-73.991218, 40.696192], [-73.991166, 40.696194], [-73.991242, 40.696449], [-73.99002, 40.696408], [-73.989734, 40.700743], [-73.986772, 40.700638], [-73.986408, 40.700005], [-73.985473, 40.699956], [-73.984435, 40.699823], [-73.983071, 40.699797], [-73.982948, 40.699731], [-73.983039, 40.698388], [-73.984924, 40.698433], [-73.984955, 40.697617], [-73.984768, 40.69761]]",LineString
27,Ok,1665.3,517.7,"[[-73.966574, 40.764435], [-73.967271, 40.763482], [-73.972099, 40.765518], [-73.973015, 40.764279], [-73.981232, 40.767814], [-73.981539, 40.767575], [-73.981625, 40.767084], [-73.98171, 40.767119], [-73.981672, 40.76695]]",LineString
28,Ok,2444.6,669.2,"[[-73.971212, 40.744219], [-73.970562, 40.745031], [-73.972237, 40.745727], [-73.967158, 40.752746], [-73.965697, 40.754505], [-73.973423, 40.757764], [-73.972512, 40.759017], [-73.974055, 40.759668]]",LineString
