source,target,weight
BK09,BK09,7455
BK09,BK32,84
BK09,BK33,14569
BK09,BK35,156
BK09,BK37,3787
BK09,BK38,16276
BK09,BK60,102
BK09,BK61,374
BK09,BK63,47
BK09,BK64,775
BK09,BK68,2917
BK09,BK69,1036
BK09,BK72,42
BK09,BK73,882
BK09,BK75,547
BK09,BK76,116
BK09,BK78,38
BK09,BK90,115
BK09,MN03,2
BK09,MN09,1
BK09,MN11,3
BK09,MN12,15
BK09,MN13,601
BK09,MN14,26
BK09,MN15,114
BK09,MN17,322
BK09,MN19,150
BK09,MN20,297
BK09,MN21,100
BK09,MN22,402
BK09,MN23,604
BK09,MN24,2605
BK09,MN25,1237
BK09,MN27,837
BK09,MN28,170
BK09,MN31,61
BK09,MN32,11
BK09,MN33,1
BK09,MN34,2
BK09,MN40,15
BK09,MN50,44
BK09,QN31,30
BK09,QN68,11
BK09,QN70,6
BK09,QN71,2
BK09,QN72,2
BK32,BK32,207
BK32,BK33,549
BK32,BK35,25
BK32,BK37,1544
BK32,BK38,319
BK32,BK60,42
BK32,BK61,101
BK32,BK63,16
BK32,BK64,111
BK32,BK68,204
BK32,BK69,181
BK32,BK72,7
BK32,BK73,49
BK32,BK75,58
BK32,BK76,31
BK32,BK78,6
BK32,BK90,8
BK32,MN09,1
BK32,MN11,4
BK32,MN12,1
BK32,MN13,6
BK32,MN14,2
BK32,MN15,2
BK32,MN17,5
BK32,MN19,1
BK32,MN20,4
BK32,MN21,2
BK32,MN22,12
BK32,MN23,13
BK32,MN24,32
BK32,MN25,32
BK32,MN27,38
BK32,MN28,6
BK32,MN31,1
BK32,MN32,3
BK32,MN50,1
BK32,QN70,1
BK33,BK33,20025
BK33,BK35,226
BK33,BK37,12332
BK33,BK38,21162
BK33,BK60,219
BK33,BK61,706
BK33,BK63,98
BK33,BK64,1200
BK33,BK68,2465
BK33,BK69,803
BK33,BK72,26
BK33,BK73,702
BK33,BK75,372
BK33,BK76,134
BK33,BK78,43
BK33,BK90,126
BK33,MN09,1
BK33,MN12,8
BK33,MN13,512
BK33,MN14,12
BK33,MN15,46
BK33,MN17,164
BK33,MN19,130
BK33,MN20,205
BK33,MN21,66
BK33,MN22,450
BK33,MN23,641
BK33,MN24,1544
BK33,MN25,942
BK33,MN27,620
BK33,MN28,165
BK33,MN31,15
BK33,MN32,4
BK33,MN33,1
BK33,MN40,18
BK33,MN50,34
BK33,QN31,21
BK33,QN68,8
BK33,QN70,4
BK33,QN71,1
BK33,QN72,1
BK35,BK35,1577
BK35,BK37,626
BK35,BK38,1069
BK35,BK60,164
BK35,BK61,1377
BK35,BK63,58
BK35,BK64,499
BK35,BK68,1333
BK35,BK69,1433
BK35,BK72,210
BK35,BK73,1479
BK35,BK75,4443
BK35,BK76,408
BK35,BK78,412
BK35,BK90,808
BK35,MN09,3
BK35,MN11,1
BK35,MN12,4
BK35,MN13,128
BK35,MN14,6
