id,ntaname,lat,lon
QN72,Steinway,40.777426438656796,-73.90540816081601
BK64,Prospect Heights,40.6776447870797,-73.9675875911094
BK90,East Williamsburg,40.7153708615758,-73.9367971861491
QN31,Hunters Point-Sunnyside-West Maspeth,40.7397667155428,-73.931190766357
MN99,park-cemetery-etc-Manhattan,40.787978352735706,-73.95478218481259
BK99,park-cemetery-etc-Brooklyn,40.62313419332639,-73.91855894282
QN99,park-cemetery-etc-Queens,40.68958978762561,-73.8314998659826
BK32,Sunset Park West,40.6523607121118,-74.01125805584459
MN21,Gramercy,40.736824343700704,-73.984054292296
MN22,East Village,40.7276203511126,-73.9859345708958
MN06,Manhattanville,40.8179755661309,-73.9537819921757
BK72,Williamsburg,40.703916526049795,-73.9585967478483
BK09,Brooklyn Heights-Cobble Hill,40.6954693483985,-73.9948704023748
BK68,Fort Greene,40.690795105138,-73.9748814794916
MN27,Chinatown,40.7156070602499,-73.9946295403868
MN25,Battery Park City-Lower Manhattan,40.7080108183364,-74.0102453843718
BK60,Prospect Lefferts Gardens-Wingate,40.6587442791347,-73.94744160803
BK37,Park Slope-Gowanus,40.6712282969305,-73.9839032862675
MN32,Yorkville,40.7773164919154,-73.9487029174
BK63,Crown Heights South,40.6665387975595,-73.9487839905327
MN19,Turtle Bay-East Midtown,40.754310485336596,-73.9690171543082
MN11,Central Harlem South,40.80433248378829,-73.9512933198813
BK69,Clinton Hill,40.6879668128163,-73.9623633234088
QN70,Astoria,40.761493576200294,-73.9196971847407
BK75,Bedford,40.6915074977569,-73.9499050210528
BK35,Stuyvesant Heights,40.6881682430852,-73.9318882065035
BK61,Crown Heights North,40.6744693701672,-73.93928717423759
BK78,Bushwick South,40.6964588162144,-73.9251147256448
MN31,Lenox Hill-Roosevelt Island,40.764965913137004,-73.9550908956325
QN68,Queensbridge-Ravenswood-Long Island City,40.7575617688707,-73.93874952669941
QN71,Old Astoria,40.7715698669498,-73.9283328508384
MN15,Clinton,40.764175475581105,-73.9923972744762
BK76,Greenpoint,40.729503211533796,-73.94952048132859
MN40,Upper East Side-Carnegie Hill,40.7747298522133,-73.9611740955564
BK73,North Side-South Side,40.714916497843,-73.9586254809539
MN14,Lincoln Square,40.7748465632763,-73.9846992969503
MN17,Midtown-Midtown South,40.7557339292656,-73.9835030216214
MN50,Stuyvesant Town-Cooper Village,40.731811546092,-73.976564694347
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.6929270600388,-73.9859865287128
BK33,Carroll Gardens-Columbia Street-Red Hook,40.6787716059221,-74.0038992429093
MN20,Murray Hill-Kips Bay,40.7441949603179,-73.9774825476491
MN09,Morningside Heights,40.8078862430656,-73.9625436540848
MN03,Central Harlem North-Polo Grounds,40.8182571755411,-73.9407718429842
MN24,SoHo-TriBeCa-Civic Center-Little Italy,40.7207661208141,-74.0047474984227
MN28,Lower East Side,40.71784092765721,-73.9809116637569
MN23,West Village,40.7330544700236,-74.0015607586051
MN12,Upper West Side,40.790379981391794,-73.9739078402589
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,40.747581806482394,-73.99900954557509
MN33,East Harlem South,40.7900112871979,-73.94575085883709
MN34,East Harlem North,40.801168413137496,-73.9373457713812
