id,region_id,name,lat,lon,capacity
281,71.0,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,57
304,71.0,Broadway & Battery Pl,40.70463334,-74.01361706,33
359,71.0,E 47 St & Park Ave,40.75510267,-73.97498696,53
402,71.0,Broadway & E 22 St,40.7403432,-73.98955109,39
3236,71.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,33
3443,71.0,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,41
72,71.0,W 52 St & 11 Ave,40.76727216,-73.99392888,39
79,71.0,Franklin St & W Broadway,40.71911552,-74.00666661,33
82,71.0,St James Pl & Pearl St,40.71117416,-74.00016545,27
83,71.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,62
119,71.0,Park Ave & St Edwards St,40.69608941,-73.97803415,19
120,71.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,19
127,71.0,Barrow St & Hudson St,40.73172428,-74.00674436,31
128,71.0,MacDougal St & Prince St,40.72710258,-74.00297088,30
143,71.0,Clinton St & Joralemon St,40.69239502,-73.99337909,24
144,71.0,Nassau St & Navy St,40.69839895,-73.98068914,19
146,71.0,Hudson St & Reade St,40.71625008,-74.0091059,39
150,71.0,E 2 St & Avenue C,40.7208736,-73.98085795,29
151,71.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,33
157,71.0,Henry St & Atlantic Ave,40.69089272,-73.99612349,23
161,71.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,35
164,71.0,E 47 St & 2 Ave,40.75323098,-73.97032517,47
167,71.0,E 39 St & 3 Ave,40.7489006,-73.97604882,45
168,71.0,W 18 St & 6 Ave,40.73971301,-73.99456405,47
173,71.0,Broadway & W 49 St,40.76068327096592,-73.9845272898674,51
174,71.0,E 25 St & 1 Ave,40.7381765,-73.97738662,30
195,71.0,Liberty St & Broadway,40.70905623,-74.01043382,45
212,71.0,W 16 St & The High Line,40.74334935,-74.00681753,28
216,71.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059,23
217,71.0,Old Fulton St,40.70277159,-73.99383605,39
223,71.0,W 13 St & 7 Ave,40.73781509,-73.99994661,33
228,71.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,55
229,71.0,Great Jones St,40.72743423,-73.99379025,23
232,71.0,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,23
236,71.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,39
237,71.0,E 11 St & 2 Ave,40.73047309,-73.98672378,39
238,71.0,Bank St & Washington St,40.7361967,-74.00859207,31
239,71.0,Willoughby St & Fleet St,40.69196566,-73.9813018,32
241,71.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,23
242,71.0,Carlton Ave & Flushing Ave,40.697787,-73.973736,23
243,71.0,Fulton St & Rockwell Pl,40.688226,-73.979382,31
244,71.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,31
245,71.0,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,23
247,71.0,Perry St & Bleecker St,40.73535398,-74.00483091,20
248,71.0,Laight St & Hudson St,40.72185379,-74.00771779,23
249,71.0,Harrison St & Hudson St,40.71870987,-74.0090009,27
251,71.0,Mott St & Prince St,40.72317958,-73.99480012,27
252,71.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,33
254,71.0,W 11 St & 6 Ave,40.73532427,-73.99800419,31
257,71.0,Lispenard St & Broadway,40.71939226,-74.00247214,39
258,71.0,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,23
259,71.0,South St & Whitehall St,40.70122128,-74.01234218,39
260,71.0,Broad St & Bridge St,40.70365182,-74.01167797,35
261,71.0,Johnson St & Gold St,40.69474881,-73.98362464,27
262,71.0,Washington Park,40.6917823,-73.9737299,24
264,71.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,27
265,71.0,Stanton St & Chrystie St,40.72229346,-73.99147535,35
266,71.0,Avenue D & E 8 St,40.72368361,-73.97574813,24
267,71.0,Broadway & W 36 St,40.75097711,-73.98765428,57
268,71.0,Howard St & Centre St,40.71910537,-73.99973337,27
270,71.0,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,23
274,71.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,31
275,71.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,19
276,71.0,Duane St & Greenwich St,40.71748752,-74.0104554,25
278,71.0,Concord St & Bridge St,40.69766564,-73.98476437,19
279,71.0,Peck Slip & Front St,40.707873,-74.00167,36
280,71.0,E 10 St & 5 Ave,40.73331967,-73.99510132,31
282,71.0,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,27
285,71.0,Broadway & E 14 St,40.73454567,-73.99074142,51
289,71.0,Monroe St & Classon Ave,40.6845683,-73.95881081,19
291,71.0,Madison St & Montgomery St,40.713126,-73.984844,20
293,71.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,55
295,71.0,Pike St & E Broadway,40.71406667,-73.99293911,24
296,71.0,Division St & Bowery,40.71413089,-73.9970468,35
297,71.0,E 15 St & 3 Ave,40.734232,-73.986923,27
298,71.0,3 Ave & Schermerhorn St,40.68683208,-73.9796772,35
301,71.0,E 2 St & Avenue B,40.72217444,-73.98368779,37
302,71.0,Avenue D & E 3 St,40.72082834,-73.97793172,23
303,71.0,Mercer St & Spring St,40.72362738,-73.99949601,31
305,71.0,E 58 St & 3 Ave,40.76095756,-73.96724467,33
307,71.0,Canal St & Rutgers St,40.71427487,-73.98990025,30
308,71.0,St James Pl & Oliver St,40.71307916,-73.99851193,27
