source,target,weight
BK09,BK09,11374
BK09,BK32,143
BK09,BK33,21959
BK09,BK35,275
BK09,BK37,5770
BK09,BK38,23240
BK09,BK60,152
BK09,BK61,670
BK09,BK63,65
BK09,BK64,1204
BK09,BK68,4396
BK09,BK69,1667
BK09,BK72,83
BK09,BK73,1446
BK09,BK75,762
BK09,BK76,247
BK09,BK78,34
BK09,BK90,230
BK09,MN03,2
BK09,MN09,3
BK09,MN12,25
BK09,MN13,875
BK09,MN14,28
BK09,MN15,160
BK09,MN17,533
BK09,MN19,240
BK09,MN20,483
BK09,MN21,155
BK09,MN22,633
BK09,MN23,859
BK09,MN24,4335
BK09,MN25,1810
BK09,MN27,1519
BK09,MN28,297
BK09,MN31,116
BK09,MN32,15
BK09,MN33,2
BK09,MN34,3
BK09,MN40,23
BK09,MN50,72
BK09,QN31,80
BK09,QN68,11
BK09,QN70,12
BK09,QN71,1
BK09,QN72,2
BK32,BK32,314
BK32,BK33,780
BK32,BK35,51
BK32,BK37,2383
BK32,BK38,746
BK32,BK60,100
BK32,BK61,215
BK32,BK63,17
BK32,BK64,180
BK32,BK68,312
BK32,BK69,204
BK32,BK72,1
BK32,BK73,79
BK32,BK75,75
BK32,BK76,48
BK32,BK78,1
BK32,BK90,15
BK32,MN03,1
BK32,MN09,1
BK32,MN13,7
BK32,MN14,1
BK32,MN15,3
BK32,MN17,7
BK32,MN20,14
BK32,MN21,8
BK32,MN22,8
BK32,MN23,21
BK32,MN24,81
BK32,MN25,34
BK32,MN27,60
BK32,MN28,30
BK32,MN31,1
BK32,MN40,1
BK32,MN50,1
BK32,QN68,1
BK32,QN70,1
BK33,BK33,28687
BK33,BK35,336
BK33,BK37,17500
BK33,BK38,29048
BK33,BK60,374
BK33,BK61,1093
BK33,BK63,197
BK33,BK64,1899
BK33,BK68,3726
BK33,BK69,1182
BK33,BK72,30
BK33,BK73,1171
BK33,BK75,632
BK33,BK76,231
BK33,BK78,42
BK33,BK90,177
BK33,MN09,7
BK33,MN11,1
BK33,MN12,11
BK33,MN13,784
BK33,MN14,20
BK33,MN15,78
BK33,MN17,312
BK33,MN19,191
BK33,MN20,340
BK33,MN21,136
BK33,MN22,559
BK33,MN23,781
BK33,MN24,2441
BK33,MN25,1200
BK33,MN27,1006
BK33,MN28,225
BK33,MN31,38
BK33,MN32,8
BK33,MN33,1
BK33,MN40,21
BK33,MN50,50
BK33,QN31,32
BK33,QN68,2
BK33,QN70,11
BK35,BK35,2343
BK35,BK37,1097
BK35,BK38,1557
BK35,BK60,249
BK35,BK61,1902
BK35,BK63,74
BK35,BK64,837
BK35,BK68,1887
BK35,BK69,1722
BK35,BK72,269
BK35,BK73,2461
BK35,BK75,6091
BK35,BK76,484
BK35,BK78,484
BK35,BK90,1429
BK35,MN09,1
BK35,MN11,1
BK35,MN12,3
BK35,MN13,192
BK35,MN14,5
BK35,MN15,10
BK35,MN17,60
BK35,MN19,45
BK35,MN20,90
BK35,MN21,56
BK35,MN22,159
BK35,MN23,259
BK35,MN24,394
BK35,MN25,155
BK35,MN27,378
BK35,MN28,141
BK35,MN31,11
BK35,MN32,7
BK35,MN33,1
BK35,MN40,9
BK35,MN50,10
BK35,QN31,125
BK35,QN68,107
BK35,QN70,62
BK35,QN71,2
BK35,QN72,4
BK37,BK37,52266
BK37,BK38,21200
BK37,BK60,2675
BK37,BK61,6094
BK37,BK63,1205
BK37,BK64,15352
BK37,BK68,11871
BK37,BK69,5464
BK37,BK72,92
BK37,BK73,2657
BK37,BK75,2875
BK37,BK76,518
BK37,BK78,164
BK37,BK90,634
BK37,MN03,6
BK37,MN06,1
BK37,MN09,8
BK37,MN11,4
BK37,MN12,26
BK37,MN13,1020
BK37,MN14,20
BK37,MN15,159
BK37,MN17,416
BK37,MN19,152
BK37,MN20,430
BK37,MN21,152
BK37,MN22,604
BK37,MN23,992
BK37,MN24,2845
BK37,MN25,1767
BK37,MN27,1515
BK37,MN28,269
BK37,MN31,29
BK37,MN32,11
BK37,MN33,1
BK37,MN40,20
BK37,MN50,184
BK37,QN31,84
BK37,QN68,18
BK37,QN70,15
BK37,QN71,4
BK37,QN72,1
BK38,BK38,29458
BK38,BK60,643
BK38,BK61,2926
BK38,BK63,336
BK38,BK64,5485
BK38,BK68,23679
BK38,BK69,9488
BK38,BK72,257
BK38,BK73,8695
BK38,BK75,4360
BK38,BK76,1472
BK38,BK78,362
BK38,BK90,1572
BK38,MN09,17
BK38,MN11,12
BK38,MN12,73
BK38,MN13,2741
BK38,MN14,129
BK38,MN15,358
BK38,MN17,1403
BK38,MN19,909
BK38,MN20,1704
BK38,MN21,685
BK38,MN22,2534
BK38,MN23,3052
BK38,MN24,15139
BK38,MN25,6552
BK38,MN27,7902
BK38,MN28,1564
BK38,MN31,198
BK38,MN32,40
BK38,MN33,15
BK38,MN34,6
BK38,MN40,86
BK38,MN50,409
BK38,QN31,418
BK38,QN68,70
BK38,QN70,106
BK38,QN71,35
BK38,QN72,12
BK60,BK60,1023
BK60,BK61,1060
BK60,BK63,469
BK60,BK64,774
BK60,BK68,544
BK60,BK69,503
BK60,BK72,14
BK60,BK73,395
BK60,BK75,479
BK60,BK76,50
BK60,BK78,35
BK60,BK90,115
BK60,MN09,1
BK60,MN12,2
BK60,MN13,25
BK60,MN15,2
BK60,MN17,19
BK60,MN19,2
BK60,MN20,10
BK60,MN21,5
BK60,MN22,31
BK60,MN23,53
BK60,MN24,163
BK60,MN25,93
BK60,MN27,81
BK60,MN28,41
BK60,MN31,2
BK60,MN40,2
BK60,MN50,1
BK60,QN31,8
BK60,QN68,1
BK60,QN70,5
BK61,BK61,3936
BK61,BK63,865
BK61,BK64,4537
BK61,BK68,2632
BK61,BK69,3463
BK61,BK72,86
BK61,BK73,1898
BK61,BK75,3676
BK61,BK76,369
BK61,BK78,203
BK61,BK90,517
BK61,MN11,1
BK61,MN12,8
BK61,MN13,186
BK61,MN14,4
BK61,MN15,8
BK61,MN17,39
BK61,MN19,88
BK61,MN20,44
BK61,MN21,26
BK61,MN22,158
BK61,MN23,154
BK61,MN24,556
BK61,MN25,384
BK61,MN27,444
BK61,MN28,88
BK61,MN31,5
BK61,MN32,4
BK61,MN40,3
BK61,MN50,17
BK61,QN31,62
BK61,QN68,22
BK61,QN70,11
BK61,QN71,1
BK61,QN72,5
BK63,BK63,192
BK63,BK64,632
BK63,BK68,348
BK63,BK69,306
BK63,BK73,274
BK63,BK75,379
BK63,BK76,46
BK63,BK78,38
BK63,BK90,57
BK63,MN09,1
BK63,MN13,19
BK63,MN14,1
BK63,MN15,2
BK63,MN17,8
BK63,MN19,7
BK63,MN20,9
BK63,MN21,2
BK63,MN22,20
BK63,MN23,47
BK63,MN24,55
BK63,MN25,62
BK63,MN27,58
BK63,MN28,13
BK63,MN31,3
BK63,MN32,1
BK63,MN50,2
BK63,QN31,4
BK63,QN68,1
BK63,QN70,1
BK64,BK64,4285
BK64,BK68,5239
BK64,BK69,4126
BK64,BK72,51
BK64,BK73,1672
BK64,BK75,1934
BK64,BK76,387
BK64,BK78,104
BK64,BK90,321
BK64,MN09,7
BK64,MN12,7
BK64,MN13,361
BK64,MN14,7
BK64,MN15,16
BK64,MN17,174
BK64,MN19,86
BK64,MN20,153
BK64,MN21,35
BK64,MN22,237
BK64,MN23,293
BK64,MN24,1071
BK64,MN25,454
BK64,MN27,610
BK64,MN28,106
BK64,MN31,4
BK64,MN32,1
BK64,MN34,1
BK64,MN50,20
BK64,QN31,49
BK64,QN68,11
BK64,QN70,5
BK64,QN71,3
BK64,QN72,2
BK68,BK68,22028
BK68,BK69,19184
BK68,BK72,367
BK68,BK73,6678
BK68,BK75,6459
BK68,BK76,1400
BK68,BK78,335
BK68,BK90,1365
BK68,MN03,2
BK68,MN06,1
BK68,MN09,4
BK68,MN11,5
BK68,MN12,22
BK68,MN13,937
BK68,MN14,29
BK68,MN15,49
BK68,MN17,347
BK68,MN19,237
BK68,MN20,548
BK68,MN21,193
BK68,MN22,578
BK68,MN23,1099
BK68,MN24,2237
BK68,MN25,1400
BK68,MN27,2355
BK68,MN28,621
BK68,MN31,50
BK68,MN32,22
BK68,MN33,4
BK68,MN34,2
BK68,MN40,28
BK68,MN50,93
BK68,QN31,282
BK68,QN68,31
BK68,QN70,28
BK68,QN71,4
BK68,QN72,3
BK69,BK69,6698
BK69,BK72,172
BK69,BK73,4886
BK69,BK75,7287
BK69,BK76,819
BK69,BK78,297
BK69,BK90,932
BK69,MN09,2
BK69,MN12,14
BK69,MN13,629
BK69,MN14,16
BK69,MN15,51
BK69,MN17,229
BK69,MN19,185
BK69,MN20,283
BK69,MN21,130
BK69,MN22,341
BK69,MN23,581
BK69,MN24,1234
BK69,MN25,721
BK69,MN27,871
BK69,MN28,284
BK69,MN31,7
BK69,MN32,1
BK69,MN33,1
BK69,MN40,38
BK69,MN50,10
BK69,QN31,211
BK69,QN68,45
BK69,QN70,21
BK69,QN71,3
BK69,QN72,4
BK72,BK72,115
BK72,BK73,992
BK72,BK75,797
BK72,BK76,158
BK72,BK78,35
BK72,BK90,526
BK72,MN13,20
BK72,MN14,1
BK72,MN15,5
BK72,MN17,12
BK72,MN19,7
BK72,MN20,14
BK72,MN21,14
BK72,MN22,36
BK72,MN23,16
BK72,MN24,49
BK72,MN25,18
BK72,MN27,103
BK72,MN28,34
BK72,MN31,1
BK72,MN32,2
BK72,MN40,2
BK72,MN50,5
BK72,QN31,10
BK72,QN68,2
BK72,QN70,3
BK72,QN72,1
BK73,BK73,56252
BK73,BK75,6726
BK73,BK76,38783
BK73,BK78,1388
BK73,BK90,25470
BK73,MN03,2
BK73,MN09,13
BK73,MN11,13
BK73,MN12,97
BK73,MN13,3160
BK73,MN14,135
BK73,MN15,345
BK73,MN17,1735
BK73,MN19,1085
BK73,MN20,1978
BK73,MN21,611
BK73,MN22,4334
BK73,MN23,3719
BK73,MN24,7400
BK73,MN25,3922
BK73,MN27,8251
BK73,MN28,4743
BK73,MN31,308
BK73,MN32,89
BK73,MN33,15
BK73,MN34,7
BK73,MN40,231
BK73,MN50,463
BK73,QN31,4425
BK73,QN68,774
BK73,QN70,709
BK73,QN71,163
BK73,QN72,151
BK75,BK75,9423
BK75,BK76,1190
BK75,BK78,936
BK75,BK90,3144
BK75,MN03,2
BK75,MN11,3
BK75,MN12,2
BK75,MN13,279
BK75,MN14,6
BK75,MN15,23
BK75,MN17,222
BK75,MN19,94
BK75,MN20,209
BK75,MN21,107
BK75,MN22,524
BK75,MN23,610
BK75,MN24,927
BK75,MN25,381
BK75,MN27,889
BK75,MN28,285
BK75,MN31,30
BK75,MN32,9
BK75,MN33,1
BK75,MN40,35
BK75,MN50,52
BK75,QN31,224
BK75,QN68,84
BK75,QN70,18
BK75,QN71,14
BK75,QN72,5
BK76,BK76,16327
BK76,BK78,243
BK76,BK90,9084
BK76,MN03,2
BK76,MN09,2
BK76,MN11,10
BK76,MN12,45
BK76,MN13,643
BK76,MN14,88
BK76,MN15,114
BK76,MN17,427
BK76,MN19,522
BK76,MN20,290
BK76,MN21,63
BK76,MN22,651
BK76,MN23,701
BK76,MN24,1245
BK76,MN25,766
BK76,MN27,1293
BK76,MN28,885
BK76,MN31,377
BK76,MN32,68
BK76,MN33,20
BK76,MN34,12
BK76,MN40,130
BK76,MN50,26
BK76,QN31,10353
BK76,QN68,1043
BK76,QN70,897
BK76,QN71,164
BK76,QN72,138
BK78,BK78,194
BK78,BK90,941
BK78,MN09,2
BK78,MN12,7
BK78,MN13,38
BK78,MN14,2
BK78,MN15,2
BK78,MN17,41
BK78,MN19,10
BK78,MN20,31
BK78,MN21,6
BK78,MN22,106
BK78,MN23,71
BK78,MN24,113
BK78,MN25,51
BK78,MN27,143
BK78,MN28,102
BK78,MN31,6
BK78,MN33,2
BK78,MN40,7
BK78,MN50,2
BK78,QN31,71
BK78,QN68,11
BK78,QN70,28
BK78,QN71,5
BK78,QN72,5
BK90,BK90,8091
BK90,MN06,4
BK90,MN09,3
BK90,MN12,12
BK90,MN13,550
BK90,MN14,24
BK90,MN15,46
BK90,MN17,384
BK90,MN19,199
BK90,MN20,442
BK90,MN21,144
BK90,MN22,793
BK90,MN23,871
BK90,MN24,1342
BK90,MN25,672
BK90,MN27,1225
BK90,MN28,730
BK90,MN31,43
BK90,MN32,12
BK90,MN33,1
BK90,MN34,3
BK90,MN40,20
BK90,MN50,56
BK90,QN31,938
BK90,QN68,121
BK90,QN70,167
BK90,QN71,25
BK90,QN72,44
MN03,MN03,1296
MN03,MN06,122
MN03,MN09,1511
MN03,MN11,4180
MN03,MN12,1494
MN03,MN13,308
MN03,MN14,561
MN03,MN15,277
MN03,MN17,628
MN03,MN19,137
MN03,MN20,161
MN03,MN21,9
MN03,MN22,31
MN03,MN23,130
MN03,MN24,64
MN03,MN25,28
MN03,MN27,22
MN03,MN28,3
MN03,MN31,192
MN03,MN32,302
MN03,MN33,752
MN03,MN34,2389
MN03,MN40,382
MN03,MN50,6
MN03,QN31,4
MN03,QN68,12
MN03,QN70,1
MN03,QN71,2
MN03,QN72,1
MN06,MN06,33
MN06,MN09,245
MN06,MN11,382
MN06,MN12,348
MN06,MN13,120
MN06,MN14,107
MN06,MN15,56
MN06,MN17,92
MN06,MN19,35
MN06,MN20,49
MN06,MN21,3
MN06,MN22,11
MN06,MN23,27
MN06,MN24,23
MN06,MN25,16
MN06,MN27,5
MN06,MN28,2
