source,target,weight
BK64,BK76,65
BK64,BK78,25
BK64,BK90,83
BK64,MN03,1
BK64,MN12,4
BK64,MN13,82
BK64,MN14,2
BK64,MN15,25
BK64,MN17,33
BK64,MN19,18
BK64,MN20,71
BK64,MN21,31
BK64,MN22,62
BK64,MN23,90
BK64,MN24,176
BK64,MN25,125
BK64,MN27,140
BK64,MN28,24
BK64,MN31,4
BK64,MN40,1
BK64,MN50,10
BK64,QN31,17
BK64,QN68,3
BK64,QN70,1
BK64,QN71,1
BK68,BK68,15230
BK68,BK69,13802
BK68,BK72,261
BK68,BK73,4068
BK68,BK75,4636
BK68,BK76,847
BK68,BK78,341
BK68,BK90,660
BK68,MN03,1
BK68,MN09,3
BK68,MN11,2
BK68,MN12,13
BK68,MN13,616
BK68,MN14,26
BK68,MN15,39
BK68,MN17,263
BK68,MN19,158
BK68,MN20,403
BK68,MN21,134
BK68,MN22,418
BK68,MN23,915
BK68,MN24,1951
BK68,MN25,1021
BK68,MN27,1850
BK68,MN28,387
BK68,MN31,20
BK68,MN32,8
BK68,MN33,1
BK68,MN34,1
BK68,MN40,21
BK68,MN50,64
BK68,QN31,235
BK68,QN68,51
BK68,QN70,11
BK68,QN71,1
BK68,QN72,1
BK69,BK69,4329
BK69,BK72,105
BK69,BK73,3366
BK69,BK75,5366
BK69,BK76,604
BK69,BK78,396
BK69,BK90,622
BK69,MN09,4
BK69,MN12,9
BK69,MN13,372
BK69,MN14,9
BK69,MN15,27
BK69,MN17,107
BK69,MN19,70
BK69,MN20,217
BK69,MN21,91
BK69,MN22,331
BK69,MN23,426
BK69,MN24,1078
BK69,MN25,361
BK69,MN27,707
BK69,MN28,213
BK69,MN31,9
BK69,MN32,1
BK69,MN40,3
BK69,MN50,35
BK69,QN31,168
BK69,QN68,26
BK69,QN70,7
BK69,QN71,4
BK72,BK72,77
BK72,BK73,577
BK72,BK75,609
BK72,BK76,67
BK72,BK78,161
BK72,BK90,476
BK72,MN09,1
BK72,MN13,19
BK72,MN17,3
BK72,MN19,4
BK72,MN20,8
BK72,MN21,2
BK72,MN22,14
BK72,MN23,15
BK72,MN24,25
BK72,MN25,24
BK72,MN27,46
BK72,MN28,20
BK72,MN50,4
BK72,QN31,12
BK72,QN68,4
BK72,QN70,1
BK73,BK73,35197
BK73,BK75,4498
BK73,BK76,24643
BK73,BK78,1915
BK73,BK90,15420
BK73,MN03,1
BK73,MN09,7
BK73,MN11,1
BK73,MN12,53
BK73,MN13,1861
BK73,MN14,37
BK73,MN15,253
BK73,MN17,1234
BK73,MN19,878
BK73,MN20,1414
BK73,MN21,474
BK73,MN22,2907
BK73,MN23,2413
BK73,MN24,5398
BK73,MN25,2774
BK73,MN27,5511
BK73,MN28,2849
BK73,MN31,264
BK73,MN32,50
BK73,MN33,12
BK73,MN40,132
BK73,MN50,310
BK73,QN31,2567
BK73,QN68,468
BK73,QN70,181
BK73,QN71,49
BK73,QN72,34
BK75,BK75,6723
BK75,BK76,564
BK75,BK78,1184
BK75,BK90,2033
BK75,MN12,5
BK75,MN13,264
BK75,MN14,2
BK75,MN15,20
BK75,MN17,137
BK75,MN19,86
BK75,MN20,139
BK75,MN21,64
BK75,MN22,262
BK75,MN23,462
BK75,MN24,670
BK75,MN25,358
BK75,MN27,655
BK75,MN28,168
BK75,MN31,13
BK75,MN32,3
BK75,MN33,6
BK75,MN40,23
BK75,MN50,29
BK75,QN31,145
BK75,QN68,33
BK75,QN70,9
BK75,QN71,1
BK75,QN72,1
BK76,BK76,9088
BK76,BK78,409
BK76,BK90,5786
BK76,MN09,7
BK76,MN11,3
BK76,MN12,22
BK76,MN13,409
BK76,MN14,64
BK76,MN15,37
BK76,MN17,274
BK76,MN19,355
BK76,MN20,205
BK76,MN21,69
BK76,MN22,376
BK76,MN23,452
BK76,MN24,843
BK76,MN25,466
BK76,MN27,886
BK76,MN28,488
BK76,MN31,327
BK76,MN32,41
BK76,MN33,11
BK76,MN34,2
BK76,MN40,141
BK76,MN50,27
BK76,QN31,7478
BK76,QN68,612
BK76,QN70,265
BK76,QN71,39
BK76,QN72,44
BK78,BK78,540
BK78,BK90,1610
BK78,MN12,1
BK78,MN13,95
BK78,MN14,13
BK78,MN15,15
BK78,MN17,45
BK78,MN19,30
BK78,MN20,38
BK78,MN21,74
BK78,MN22,143
BK78,MN23,149
BK78,MN24,213
BK78,MN25,144
BK78,MN27,295
BK78,MN28,184
BK78,MN31,16
BK78,MN32,3
BK78,MN40,7
BK78,MN50,4
BK78,QN31,124
BK78,QN68,15
BK78,QN70,8
BK78,QN71,1
BK78,QN72,1
BK90,BK90,6222
BK90,MN11,1
BK90,MN12,3
BK90,MN13,279
BK90,MN14,10
BK90,MN15,29
BK90,MN17,135
BK90,MN19,121
BK90,MN20,231
BK90,MN21,96
BK90,MN22,400
BK90,MN23,445
BK90,MN24,867
BK90,MN25,552
BK90,MN27,842
BK90,MN28,532
BK90,MN31,69
BK90,MN32,15
BK90,MN33,3
BK90,MN34,2
BK90,MN40,9
BK90,MN50,61
BK90,QN31,606
BK90,QN68,92
BK90,QN70,47
BK90,QN71,6
BK90,QN72,5
MN03,MN03,336
MN03,MN09,651
MN03,MN11,1148
MN03,MN12,743
MN03,MN13,166
MN03,MN14,278
MN03,MN15,111
MN03,MN17,292
MN03,MN19,67
MN03,MN20,44
MN03,MN21,2
MN03,MN22,8
MN03,MN23,31
MN03,MN24,35
MN03,MN25,8
MN03,MN27,6
MN03,MN28,1
MN03,MN31,95
MN03,MN32,140
MN03,MN33,257
MN03,MN34,572
MN03,MN40,228
MN03,MN50,1
MN03,QN31,1
MN03,QN68,5
MN03,QN70,3
MN03,QN72,3
MN09,MN09,3907
MN09,MN11,2726
MN09,MN12,11440
MN09,MN13,2542
MN09,MN14,3676
MN09,MN15,1379
MN09,MN17,2341
MN09,MN19,499
MN09,MN20,353
MN09,MN21,85
MN09,MN22,47
MN09,MN23,531
MN09,MN24,574
MN09,MN25,348
MN09,MN27,43
MN09,MN28,11
MN09,MN31,469
MN09,MN32,900
MN09,MN33,1306
MN09,MN34,934
MN09,MN40,1585
MN09,MN50,30
MN09,QN31,20
MN09,QN68,13
MN09,QN70,3
MN09,QN71,1
MN11,MN11,2655
MN11,MN12,5791
MN11,MN13,783
MN11,MN14,3016
MN11,MN15,570
MN11,MN17,4017
MN11,MN19,577
MN11,MN20,266
MN11,MN21,38
MN11,MN22,40
MN11,MN23,145
MN11,MN24,109
MN11,MN25,110
MN11,MN27,26
MN11,MN28,7
MN11,MN31,631
MN11,MN32,898
MN11,MN33,2920
MN11,MN34,2441
MN11,MN40,3379
MN11,MN50,13
MN11,QN31,32
MN11,QN68,17
MN11,QN70,9
MN11,QN72,10
MN12,MN12,30027
MN12,MN13,13552
MN12,MN14,32006
MN12,MN15,7866
MN12,MN17,24727
MN12,MN19,4956
MN12,MN20,2681
MN12,MN21,399
MN12,MN22,431
MN12,MN23,3251
MN12,MN24,3213
MN12,MN25,3461
MN12,MN27,237
MN12,MN28,145
MN12,MN31,4046
MN12,MN32,3284
MN12,MN33,4775
MN12,MN34,1203
MN12,MN40,14575
MN12,MN50,148
MN12,QN31,137
MN12,QN68,111
MN12,QN70,30
MN12,QN71,3
MN12,QN72,6
MN13,MN13,88146
MN13,MN14,15327
MN13,MN15,35639
MN13,MN17,79562
MN13,MN19,11332
MN13,MN20,40217
MN13,MN21,14499
MN13,MN22,21226
MN13,MN23,72215
MN13,MN24,41921
MN13,MN25,30956
MN13,MN27,10468
MN13,MN28,7457
MN13,MN31,2961
MN13,MN32,1238
MN13,MN33,482
MN13,MN34,220
MN13,MN40,3606
MN13,MN50,11887
MN13,QN31,220
MN13,QN68,159
MN13,QN70,96
MN13,QN71,7
MN13,QN72,9
MN14,MN14,16785
MN14,MN15,14340
MN14,MN17,31344
MN14,MN19,6671
MN14,MN20,3871
MN14,MN21,610
MN14,MN22,892
MN14,MN23,4282
MN14,MN24,3639
MN14,MN25,3589
MN14,MN27,491
MN14,MN28,236
MN14,MN31,5153
MN14,MN32,2549
MN14,MN33,1915
MN14,MN34,516
MN14,MN40,13544
MN14,MN50,418
MN14,QN31,146
MN14,QN68,216
MN14,QN70,62
MN14,QN71,10
MN14,QN72,19
MN15,MN15,14684
MN15,MN17,41243
MN15,MN19,11219
MN15,MN20,8478
MN15,MN21,1043
MN15,MN22,1766
MN15,MN23,7937
MN15,MN24,6453
MN15,MN25,6240
MN15,MN27,1203
MN15,MN28,732
MN15,MN31,2519
MN15,MN32,877
MN15,MN33,558
MN15,MN34,169
MN15,MN40,3722
MN15,MN50,624
MN15,QN31,133
MN15,QN68,107
MN15,QN70,50
MN15,QN71,12
MN15,QN72,17
MN17,MN17,61543
MN17,MN19,38859
MN17,MN20,59691
MN17,MN21,8462
MN17,MN22,10647
MN17,MN23,27580
MN17,MN24,13603
MN17,MN25,6278
MN17,MN27,5489
MN17,MN28,4295
MN17,MN31,10600
MN17,MN32,4178
MN17,MN33,2824
MN17,MN34,625
MN17,MN40,22208
MN17,MN50,6402
MN17,QN31,724
MN17,QN68,748
MN17,QN70,359
MN17,QN71,76
MN17,QN72,31
MN19,MN19,12861
MN19,MN20,18733
MN19,MN21,2548
MN19,MN22,4327
MN19,MN23,4047
MN19,MN24,2695
MN19,MN25,3312
MN19,MN27,2648
MN19,MN28,3324
MN19,MN31,15240
MN19,MN32,6393
MN19,MN33,1201
MN19,MN34,464
MN19,MN40,7153
MN19,MN50,3986
MN19,QN31,955
MN19,QN68,1137
MN19,QN70,443
MN19,QN71,139
MN19,QN72,64
MN20,MN20,20829
MN20,MN21,9834
MN20,MN22,12833
MN20,MN23,16498
MN20,MN24,9794
MN20,MN25,5573
MN20,MN27,6758
MN20,MN28,5845
MN20,MN31,5747
MN20,MN32,2423
MN20,MN33,621
MN20,MN34,213
MN20,MN40,3435
MN20,MN50,10304
MN20,QN31,245
MN20,QN68,317
MN20,QN70,163
MN20,QN71,43
MN20,QN72,32
MN21,MN21,2498
MN21,MN22,7583
MN21,MN23,9657
MN21,MN24,4564
MN21,MN25,2005
MN21,MN27,3626
MN21,MN28,2903
MN21,MN31,724
MN21,MN32,348
MN21,MN33,77
MN21,MN34,33
MN21,MN40,466
MN21,MN50,4955
MN21,QN31,48
MN21,QN68,74
MN21,QN70,22
MN21,QN71,4
MN21,QN72,1
MN22,MN22,15665
MN22,MN23,43914
MN22,MN24,19303
MN22,MN25,7397
MN22,MN27,14607
MN22,MN28,14861
MN22,MN31,1233
MN22,MN32,417
MN22,MN33,147
MN22,MN34,61
MN22,MN40,673
MN22,MN50,6198
MN22,QN31,128
MN22,QN68,134
MN22,QN70,43
MN22,QN71,3
MN22,QN72,4
MN23,MN23,51728
MN23,MN24,57809
MN23,MN25,25728
MN23,MN27,17698
MN23,MN28,14966
MN23,MN31,1240
MN23,MN32,414
MN23,MN33,168
MN23,MN34,74
MN23,MN40,1258
MN23,MN50,6565
MN23,QN31,119
MN23,QN68,76
MN23,QN70,35
MN23,QN71,1
MN23,QN72,1
MN24,MN24,46289
MN24,MN25,50814
MN24,MN27,31422
MN24,MN28,15486
MN24,MN31,786
MN24,MN32,305
MN24,MN33,106
MN24,MN34,40
MN24,MN40,664
MN24,MN50,2866
MN24,QN31,62
MN24,QN68,41
MN24,QN70,24
MN24,QN71,3
MN24,QN72,1
MN25,MN25,43198
MN25,MN27,19811
MN25,MN28,14417
MN25,MN31,583
MN25,MN32,275
MN25,MN33,63
MN25,MN34,20
MN25,MN40,379
MN25,MN50,2790
MN25,QN31,124
MN25,QN68,53
MN25,QN70,15
MN25,QN71,4
MN25,QN72,3
MN27,MN27,14413
MN27,MN28,23192
MN27,MN31,632
MN27,MN32,225
MN27,MN33,76
MN27,MN34,28
MN27,MN40,359
MN27,MN50,2645
MN27,QN31,147
MN27,QN68,32
MN27,QN70,15
MN27,QN72,2
MN28,MN28,11636
MN28,MN31,470
MN28,MN32,117
MN28,MN33,35
MN28,MN34,13
MN28,MN40,234
MN28,MN50,3386
MN28,QN31,93
MN28,QN68,24
MN28,QN70,2
MN31,MN31,8136
MN31,MN32,12307
MN31,MN33,2442
MN31,MN34,875
MN31,MN40,8422
MN31,MN50,855
MN31,QN31,789
MN31,QN68,1059
MN31,QN70,327
MN31,QN71,75
MN31,QN72,48
MN32,MN32,7221
MN32,MN33,8866
MN32,MN34,2400
MN32,MN40,6973
MN32,MN50,324
MN32,QN31,245
MN32,QN68,186
MN32,QN70,56
MN32,QN71,16
MN32,QN72,17
MN33,MN33,5251
MN33,MN34,3022
MN33,MN40,4001
MN33,MN50,85
MN33,QN31,44
MN33,QN68,47
MN33,QN70,44
MN33,QN71,16
MN33,QN72,35
MN34,MN34,2340
MN34,MN40,735
MN34,MN50,29
MN34,QN31,14
MN34,QN68,22
MN34,QN70,12
MN34,QN71,9
MN34,QN72,17
MN40,MN40,12216
MN40,MN50,372
MN40,QN31,312
MN40,QN68,251
MN40,QN70,66
MN40,QN71,2
MN40,QN72,10
MN50,MN50,2940
MN50,QN31,36
MN50,QN68,32
MN50,QN70,19
MN50,QN71,11
MN50,QN72,2
QN31,QN31,6998
QN31,QN68,2800
QN31,QN70,1409
QN31,QN71,578
QN31,QN72,180
QN68,QN68,1511
QN68,QN70,2482
QN68,QN71,572
QN68,QN72,395
QN70,QN70,3258
QN70,QN71,1946
QN70,QN72,1263
QN71,QN71,831
QN71,QN72,745
QN72,QN72,1603
