source,target,weight
BK09,BK09,7124
BK09,BK32,58
BK09,BK33,14540
BK09,BK35,171
BK09,BK37,4248
BK09,BK38,15140
BK09,BK60,21
BK09,BK61,111
BK09,BK63,15
BK09,BK64,352
BK09,BK68,3198
BK09,BK69,1202
BK09,BK72,51
BK09,BK73,975
BK09,BK75,619
BK09,BK76,164
BK09,BK78,57
BK09,BK90,128
BK09,MN09,1
BK09,MN12,18
BK09,MN13,664
BK09,MN14,32
BK09,MN15,173
BK09,MN17,472
BK09,MN19,171
BK09,MN20,390
BK09,MN21,89
BK09,MN22,538
BK09,MN23,819
BK09,MN24,3267
BK09,MN25,1296
BK09,MN27,1195
BK09,MN28,262
BK09,MN31,86
BK09,MN32,3
BK09,MN33,6
BK09,MN40,15
BK09,MN50,48
BK09,QN31,51
BK09,QN68,3
BK09,QN70,2
BK32,BK32,264
BK32,BK33,383
BK32,BK35,27
BK32,BK37,1140
BK32,BK38,233
BK32,BK60,15
BK32,BK61,34
BK32,BK63,2
BK32,BK64,48
BK32,BK68,133
BK32,BK69,67
BK32,BK72,2
BK32,BK73,38
BK32,BK75,36
BK32,BK76,2
BK32,BK78,2
BK32,BK90,41
BK32,MN12,2
BK32,MN13,8
BK32,MN14,4
BK32,MN15,3
BK32,MN17,1
BK32,MN19,1
BK32,MN20,5
BK32,MN21,2
BK32,MN22,8
BK32,MN23,7
BK32,MN24,16
BK32,MN25,33
BK32,MN27,52
BK32,MN28,3
BK32,MN31,1
BK32,MN50,5
BK32,QN31,1
BK33,BK33,16154
BK33,BK35,167
BK33,BK37,11475
BK33,BK38,17400
BK33,BK60,46
BK33,BK61,168
BK33,BK63,7
BK33,BK64,458
BK33,BK68,2421
BK33,BK69,722
BK33,BK72,14
BK33,BK73,647
BK33,BK75,389
BK33,BK76,89
BK33,BK78,43
BK33,BK90,100
BK33,MN09,1
BK33,MN12,4
BK33,MN13,494
BK33,MN14,12
BK33,MN15,55
BK33,MN17,277
BK33,MN19,199
BK33,MN20,206
BK33,MN21,88
BK33,MN22,385
BK33,MN23,611
BK33,MN24,1653
BK33,MN25,788
BK33,MN27,773
BK33,MN28,165
BK33,MN31,35
BK33,MN32,5
BK33,MN40,23
BK33,MN50,34
BK33,QN31,9
BK33,QN68,2
BK33,QN70,1
BK35,BK35,1863
BK35,BK37,700
BK35,BK38,1063
BK35,BK60,27
BK35,BK61,1013
BK35,BK63,7
BK35,BK64,208
BK35,BK68,1233
BK35,BK69,1330
BK35,BK72,225
BK35,BK73,1497
BK35,BK75,4807
BK35,BK76,279
BK35,BK78,557
BK35,BK90,663
BK35,MN11,1
BK35,MN12,3
BK35,MN13,162
BK35,MN14,3
BK35,MN15,8
BK35,MN17,71
BK35,MN19,12
BK35,MN20,44
BK35,MN21,20
BK35,MN22,118
BK35,MN23,191
BK35,MN24,255
BK35,MN25,133
BK35,MN27,257
BK35,MN28,55
BK35,MN31,2
BK35,MN33,6
BK35,MN40,2
BK35,MN50,12
BK35,QN31,84
BK35,QN68,20
BK35,QN70,6
BK35,QN71,2
BK35,QN72,1
BK37,BK37,37327
BK37,BK38,14235
BK37,BK60,484
BK37,BK61,1261
BK37,BK63,112
BK37,BK64,3733
BK37,BK68,8092
BK37,BK69,4249
BK37,BK72,35
BK37,BK73,1893
BK37,BK75,2018
BK37,BK76,394
BK37,BK78,183
BK37,BK90,380
BK37,MN09,6
BK37,MN11,2
BK37,MN12,24
BK37,MN13,610
BK37,MN14,16
BK37,MN15,75
BK37,MN17,316
BK37,MN19,110
BK37,MN20,259
BK37,MN21,169
BK37,MN22,421
BK37,MN23,716
BK37,MN24,2233
BK37,MN25,1253
BK37,MN27,1125
BK37,MN28,217
BK37,MN31,44
BK37,MN33,3
BK37,MN40,7
BK37,MN50,147
BK37,QN31,70
BK37,QN68,35
BK37,QN70,1
BK37,QN71,1
BK37,QN72,1
BK38,BK38,17201
BK38,BK60,108
BK38,BK61,654
BK38,BK63,32
BK38,BK64,1435
BK38,BK68,15594
BK38,BK69,6299
BK38,BK72,215
BK38,BK73,5293
BK38,BK75,2783
BK38,BK76,907
BK38,BK78,335
BK38,BK90,860
BK38,MN09,4
BK38,MN11,3
BK38,MN12,60
BK38,MN13,1523
BK38,MN14,100
BK38,MN15,174
BK38,MN17,972
BK38,MN19,401
BK38,MN20,1268
BK38,MN21,472
BK38,MN22,1515
BK38,MN23,1780
BK38,MN24,9878
BK38,MN25,4192
BK38,MN27,4700
BK38,MN28,966
BK38,MN31,86
BK38,MN32,20
BK38,MN33,11
BK38,MN34,1
BK38,MN40,24
BK38,MN50,259
BK38,QN31,260
BK38,QN68,69
BK38,QN70,10
BK38,QN71,2
BK38,QN72,6
BK60,BK60,95
BK60,BK61,118
BK60,BK63,47
BK60,BK64,104
BK60,BK68,87
BK60,BK69,89
BK60,BK72,2
BK60,BK73,47
BK60,BK75,62
BK60,BK76,10
BK60,BK78,4
BK60,BK90,10
BK60,MN13,2
BK60,MN14,1
BK60,MN19,2
BK60,MN20,1
BK60,MN22,2
BK60,MN23,6
BK60,MN24,10
BK60,MN25,18
BK60,MN27,15
BK60,MN28,3
BK60,QN31,1
BK60,QN68,2
BK60,QN70,3
BK61,BK61,686
BK61,BK63,51
BK61,BK64,546
BK61,BK68,667
BK61,BK69,752
BK61,BK72,22
BK61,BK73,425
BK61,BK75,1020
BK61,BK76,75
BK61,BK78,139
BK61,BK90,126
BK61,MN03,1
BK61,MN13,46
BK61,MN14,1
BK61,MN15,1
BK61,MN17,6
BK61,MN19,7
BK61,MN20,37
BK61,MN21,7
BK61,MN22,25
BK61,MN23,50
BK61,MN24,123
BK61,MN25,81
BK61,MN27,91
BK61,MN28,41
BK61,MN31,3
BK61,MN33,3
BK61,MN40,1
BK61,QN31,50
BK61,QN68,5
BK61,QN70,2
BK63,BK63,11
BK63,BK64,41
BK63,BK68,24
BK63,BK69,22
BK63,BK73,26
BK63,BK75,32
BK63,BK76,2
BK63,BK78,4
BK63,BK90,3
BK63,MN13,1
BK63,MN17,1
BK63,MN19,2
BK63,MN20,2
BK63,MN22,2
BK63,MN24,1
BK63,MN25,4
BK63,MN27,4
BK64,BK64,735
BK64,BK68,1155
BK64,BK69,847
BK64,BK72,7
BK64,BK73,345
BK64,BK75,384
