id,latitude,longitude,availabledocks,stationname,statuskey,statusvalue,totaldocks
301,40.72217444,-73.98368779,22,E 2 St & Avenue B,1,In Service,37
302,40.72082834,-73.97793172,12,Avenue D & E 3 St,1,In Service,23
303,40.72362738,-73.99949601,29,Mercer St & Spring St,1,In Service,31
304,40.70463334,-74.01361706,20,Broadway & Battery Pl,1,In Service,33
305,40.76095756,-73.96724467,30,E 58 St & 3 Ave,1,In Service,33
307,40.71427487,-73.98990025,20,Canal St & Rutgers St,1,In Service,30
308,40.71307916,-73.99851193,16,St James Pl & Oliver St,1,In Service,27
309,40.7149787,-74.013012,31,Murray St & West St,1,In Service,41
310,40.68926942,-73.98912867,26,State St & Smith St,1,In Service,36
311,40.7172274,-73.98802084,17,Norfolk St & Broome St,1,In Service,31
312,40.722055,-73.989111,27,Allen St & Stanton St,1,In Service,31
313,40.69610226,-73.96751037,19,Washington Ave & Park Ave,1,In Service,23
314,40.69383,-73.990539,34,Cadman Plaza West & Montague St,1,In Service,39
315,40.70355377,-74.00670227,13,South St & Gouverneur Ln,1,In Service,29
316,40.70955958,-74.00653609,39,Fulton St & William St,1,In Service,43
317,40.72453734,-73.98185424,19,E 6 St & Avenue B,1,In Service,27
319,40.711065999999995,-74.009447,30,Fulton St & Broadway,1,In Service,33
320,40.717571,-74.005549,25,Leonard St & Church St,1,In Service,27
321,40.69991755,-73.98971773,21,Cadman Plaza E & Red Cross Pl,1,In Service,27
322,40.696191999999996,-73.991218,25,Clinton St & Tillary St,1,In Service,31
323,40.69236178,-73.98631746,33,Lawrence St & Willoughby St,1,In Service,39
324,40.689888,-73.981013,19,DeKalb Ave & Hudson Ave,1,In Service,51
325,40.73624527,-73.98473765,29,E 19 St & 3 Ave,1,In Service,35
326,40.72953837,-73.98426726,13,E 11 St & 1 Ave,1,In Service,27
327,40.715337899999994,-74.01658354,27,Vesey Pl & River Terrace,1,In Service,39
328,40.72405549,-74.00965965,20,Watts St & Greenwich St,1,In Service,23
330,40.71450451,-74.00562789,36,Reade St & Broadway,1,In Service,39
331,40.71173107,-73.99193043,3,Pike St & Monroe St,1,In Service,27
334,40.74238787,-73.99726235,24,W 20 St & 7 Ave,1,In Service,31
335,40.72903917,-73.99404649,25,Washington Pl & Broadway,1,In Service,27
336,40.73047747,-73.99906065,27,Sullivan St & Washington Sq,1,In Service,36
337,40.703799200000006,-74.00838676,28,Old Slip & Front St,1,In Service,37
339,40.72580614,-73.97422494,8,Avenue D & E 12 St,1,In Service,24
340,40.71269042,-73.98776323,8,Madison St & Clinton St,1,In Service,27
341,40.71782143,-73.97628939,8,Stanton St & Mangin St,1,In Service,19
342,40.71739973,-73.98016555,11,Columbia St & Rivington St,1,In Service,29
343,40.69794,-73.96986848,4,Clinton Ave & Flushing Ave,1,In Service,23
344,40.6851443,-73.95380904,11,Monroe St & Bedford Ave,1,In Service,23
345,40.73649403,-73.99704374,26,W 13 St & 6 Ave,1,In Service,35
346,40.73652889,-74.00618026,6,Bank St & Hudson St,1,In Service,27
347,40.728846000000004,-74.00859100000001,27,Greenwich St & W Houston St,1,In Service,35
349,40.71850211,-73.98329859,20,Rivington St & Ridge St,1,In Service,23
350,40.71559509,-73.9870295,26,Clinton St & Grand St,1,In Service,28
351,40.70530954,-74.00612572,27,Front St & Maiden Ln,1,In Service,39
353,40.68539567,-73.97431458,15,S Portland Ave & Hanson Pl,1,In Service,27
354,40.69363137,-73.96223558,0,Emerson Pl & Myrtle Ave,1,In Service,23
355,40.71602118,-73.99974372,25,Bayard St & Baxter St,1,In Service,43
356,40.71622644,-73.98261206,7,Bialystoker Pl & Delancey St,1,In Service,23
357,40.73261787,-73.99158043,24,E 11 St & Broadway,1,In Service,27
358,40.73291553,-74.00711384,7,Christopher St & Greenwich St,1,In Service,36
359,40.75510267,-73.97498696,44,E 47 St & Park Ave,1,In Service,53
360,40.70717936,-74.00887308,34,William St & Pine St,1,In Service,39
361,40.71605866,-73.99190759,18,Allen St & Hester St,1,In Service,43
362,40.75172632,-73.98753523,56,Broadway & W 37 St,1,In Service,57
363,40.70834698,-74.01713445,39,West Thames St,1,In Service,49
364,40.68900443,-73.96023854,19,Lafayette Ave & Classon Ave,1,In Service,27
365,40.68223166,-73.9614583,30,Fulton St & Grand Ave,1,In Service,31
366,40.693261,-73.968896,18,Clinton Ave & Myrtle Ave,1,In Service,33
368,40.73038599,-74.00214988,37,Carmine St & 6 Ave,1,In Service,39
369,40.73224119,-74.00026394,27,Washington Pl & 6 Ave,1,In Service,35
372,40.694546087245996,-73.9580136537552,5,Franklin Ave & Myrtle Ave,1,In Service,27
373,40.69331716,-73.95381995,15,Willoughby Ave & Walworth St,1,In Service,19
376,40.70862144,-74.00722156,39,John St & William St,1,In Service,43
377,40.72243797,-74.00566443,39,6 Ave & Canal St,1,In Service,45
379,40.749156,-73.9916,32,W 31 St & 7 Ave,1,In Service,42
380,40.73401143,-74.00293877,22,W 4 St & 7 Ave S,1,In Service,39
382,40.73492695,-73.99200509,32,University Pl & E 14 St,1,In Service,36
383,40.735238,-74.000271,30,Greenwich Ave & Charles St,1,In Service,39
386,40.71494807,-74.00234482,19,Centre St & Worth St,1,In Service,43
387,40.71273266,-74.0046073,35,Centre St & Chambers St,1,In Service,39
388,40.749717753,-74.002950346,22,W 26 St & 10 Ave,1,In Service,35
389,40.71044554,-73.96525063,23,Broadway & Berry St,1,In Service,27
390,40.69221589,-73.9842844,26,Duffield St & Willoughby St,1,In Service,31
391,40.69760127,-73.99344559,31,Clark St & Henry St,1,In Service,31
392,40.695065,-73.987167,28,Jay St & Tech Pl,1,In Service,35
393,40.72299208,-73.97995466,17,E 5 St & Avenue C,1,In Service,31
394,40.72521311,-73.97768752,11,E 9 St & Avenue C,1,In Service,32
396,40.680342423,-73.9557689392,23,Lefferts Pl & Franklin Ave,1,In Service,25
397,40.68415748,-73.96922273,26,Fulton St & Clermont Ave,1,In Service,27
398,40.69165183,-73.99997859999999,7,Atlantic Ave & Furman St,1,In Service,31
399,40.68851534,-73.9647628,17,Lafayette Ave & St James Pl,1,In Service,27
400,40.71926081,-73.98178024,11,Pitt St & Stanton St,1,In Service,15
401,40.72019576,-73.98997825,31,Allen St & Rivington St,1,In Service,42
402,40.740343200000005,-73.98955109,32,Broadway & E 22 St,1,In Service,39
403,40.72502876,-73.99069656,25,E 2 St & 2 Ave,1,In Service,31
405,40.739323,-74.008119,24,Washington St & Gansevoort St,1,In Service,40
406,40.69512845,-73.99595065,34,Hicks St & Montague St,1,In Service,34
407,40.700469,-73.991454,28,Henry St & Poplar St,1,In Service,37
408,40.71076228,-73.99400398,5,Market St & Cherry St,1,In Service,23
409,40.6906495,-73.95643107,16,DeKalb Ave & Skillman St,1,In Service,19
410,40.72066442,-73.98517977,28,Suffolk St & Stanton St,1,In Service,35
411,40.72228087,-73.97668709,15,E 6 St & Avenue D,1,In Service,23
412,40.715815500000005,-73.99422366,17,Forsyth St & Canal St,1,In Service,29
414,40.70281858,-73.98765762,12,Pearl St & Anchorage Pl,1,In Service,24
415,40.7047177,-74.00926027,39,Pearl St & Hanover Square,1,In Service,42
416,40.68753406,-73.97265183,26,Cumberland St & Lafayette Ave,1,In Service,31
417,40.71291224,-74.01020234,11,Barclay St & Church St,1,In Service,23
418,40.70224,-73.982578,15,Front St & Gold St,1,In Service,23
419,40.69580705,-73.97355569,13,Carlton Ave & Park Ave,1,In Service,23
420,40.68764484,-73.96968902,21,Clermont Ave & Lafayette Ave,1,In Service,23
421,40.69573398,-73.97129668,10,Clermont Ave & Park Ave,1,In Service,19
422,40.770513,-73.988038,44,W 59 St & 10 Ave,1,In Service,55
423,40.76584941,-73.98690506,22,W 54 St & 9 Ave,1,In Service,27
426,40.71754834,-74.01322069,8,West St & Chambers St,1,In Service,29
427,40.701907,-74.013942,35,Bus Slip & State St,1,In Service,47
432,40.72621788,-73.98379855,20,E 7 St & Avenue A,1,In Service,31
433,40.72955361,-73.98057249,19,E 13 St & Avenue A,1,In Service,39
435,40.74173969,-73.99415556,33,W 21 St & 6 Ave,1,In Service,47
436,40.68216564,-73.95399026,27,Hancock St & Bedford Ave,1,In Service,27
437,40.6809833854,-73.9500479759,14,Macon St & Nostrand Ave,1,In Service,24
438,40.72779126,-73.98564945,29,St Marks Pl & 1 Ave,1,In Service,41
439,40.726280700000004,-73.98978041,29,E 4 St & 2 Ave,1,In Service,39
440,40.75255434,-73.97282625,28,E 45 St & 3 Ave,1,In Service,32
441,40.756014,-73.967416,32,E 52 St & 2 Ave,1,In Service,35
442,40.746646999999996,-73.993915,36,W 27 St & 7 Ave,1,In Service,51
